Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,monthly_debt_to_annual_income,part_of_loan_to_pay,months_to_pay,was_bankrupt,was_problems,is_tax_liens,was_delinquent_in_last_month
Home Mortgage,-0.2027334643907894,< 1 year,-0.1031789807490464,-0.8467233144158651,-0.9611807733591049,-0.4214824013978259,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.3662601648972395,-0.31134117634396435,-0.3137231051548135,-0.23772419707832212,0.0,-0.2807982389299026,0.10034281451629647,-0.30107546098685006,0,0,0,1
Home Mortgage,0.6503636935563163,4 years,-0.1031789807490464,0.1748283522297267,-0.1014206829297027,0.16312842020560395,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.3593791463066488,0.3336712470251766,-0.2346092875504664,-0.2336455083525955,0.0,-0.8122187313575064,0.06434166672853862,0.4792150603463728,0,0,0,1
Home Mortgage,-0.5070977750515154,10+ years,-0.1031789807490464,-0.6424129810867467,-0.6088200805601697,-0.23360094402646425,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.36260760942921444,0.07135405844208353,0.09655303870362748,-0.2547187334355164,0.0,0.8303977073598877,0.05313954063369776,-0.10059531410281508,0,0,0,1
Rent,0.9578604617065885,10+ years,-0.1031789807490464,-0.029481981099391662,-0.08732625521774559,0.9806654606622407,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Long Term,-0.3559836581598585,2.2324699465129005,0.3013530173952225,-0.23976354144118545,1.0,-0.5338460019269782,-0.4786622730842349,1.7584701007777512,0,0,0,1
Own Home,1.2066881436997137,7 years,-0.1031789807490464,-0.029481981099391662,-0.08732625521774559,0.9290217850779595,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,other,Short Term,-0.3673722903671801,3.242257432383623,3.385016914467225,-0.22616791235543005,0.0,1.495974371007646,-3.5661391633916364,0.33653052819899265,0,0,0,1
Rent,-0.6169671859789696,10+ years,-0.1031789807490464,-0.4381026477576284,0.01133473876595617,-0.3814916577402543,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.3686260090675335,-0.7486502695207667,-0.45344013560351615,-0.2404433228954732,0.0,0.08729429020871242,0.41478847211027187,-0.8757106631401571,0,0,0,1
Rent,-0.2027334643907894,7 years,-0.1031789807490464,-1.0510336477449835,-0.07323182750578798,0.2237324942032263,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Long Term,-0.36338018608447603,0.7391791455765292,0.04567000644100254,-0.23772419707832212,1.0,0.20341698319033277,-0.38567830801802705,0.6353482426142497,0,0,0,1
Home Mortgage,2.6330741588218376,3 years,-0.1031789807490464,0.5834490188879634,1.4348719376736547,0.3667898895610515,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Long Term,-0.35757417629177607,1.1914501603749654,2.869171157160248,-0.2968651836013581,1.0,0.12610842968187053,-0.1971253439286438,-0.28049530437075715,0,0,0,1
Home Mortgage,0.09846153633933695,2 years,-0.1031789807490464,-0.4381026477576284,1.5053440762334418,-0.29016621775403384,-0.3264900671789613,1.0704985681827268,-0.3273751528441557,debt consolidation,Long Term,-0.35586474734014295,-0.2679345368104792,-0.41160109744737106,-0.26219632943268184,1.0,-0.6668896891821947,0.3705009982432935,-0.17081293907776215,0,0,0,0
Rent,-0.39506635424892345,2 years,-0.1031789807490464,-1.0510336477449835,-0.8202364962395308,-0.47890840305180016,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.36348534998861753,-0.5118764376225162,-0.32564089178110933,-0.25064004470978973,1.0,-0.05689216262906665,0.3569373056021581,-0.5696939663373318,0,0,0,1
Home Mortgage,0.42205053708296386,10+ years,-0.1031789807490464,-0.029481981099391662,1.1529833834345065,-0.012614566408768499,-0.3264900671789613,1.2471842130833424,-0.3273751528441557,debt consolidation,Long Term,-0.354880468185041,-0.11564151711042714,-0.8081844651819827,-0.2608367665241063,0.0,-1.238169220632643,0.3329477806752099,0.6565108260980419,0,0,0,0
Home Mortgage,-0.3597371474256499,6 years,-0.1031789807490464,-0.8467233144158651,2.266443172679142,-0.2762400813037426,-0.3264900671789613,1.2913556243084963,-0.3273751528441557,debt consolidation,Short Term,-0.36301108140131283,-0.3230035106878234,-0.8889887489744569,-0.24588157452977535,1.0,-0.9530745159687568,0.25871131121990204,0.3382012432842935,0,0,0,0
Rent,-1.1143768670248637,3 years,-0.1031789807490464,-1.0510336477449835,1.40668308224974,-0.3892602790247273,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,2.7511385336896237,-0.4005438117155301,-1.119145720487958,-0.23296572689830775,0.0,-0.489488568953078,0.5732635734927334,0.7889790898219643,0,0,0,1
Own Home,-0.2027334643907894,10+ years,-0.1031789807490464,1.1963800188753184,-0.4960646588645103,0.02364635623438282,-0.3264900671789613,0.05455611000418752,-0.3273751528441557,debt consolidation,Short Term,-0.3676967175747277,-0.36948217975578845,-0.09903389926267503,-0.23772419707832212,1.0,0.008455445027152269,0.037740176086589305,-0.4820759621082807,0,0,0,0
Own Home,-0.2027334643907894,3 years,-0.1031789807490464,0.1748283522297267,0.9415669677551454,0.5415838684616957,-0.3264900671789613,1.9980982039109585,-0.3273751528441557,debt consolidation,Short Term,-0.3585488326059762,1.577444982438788,1.6250725660081282,-0.23772419707832212,0.0,2.331367510127942,-0.4024177563802311,0.23239119797860075,0,0,0,0
Rent,0.03561584019612857,10+ years,-0.1031789807490464,-1.6639646477323387,1.6180994979291012,0.5572093908179654,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,other,Short Term,-0.36978487405042587,2.230080590208305,0.33144331554388445,-0.2452017930754876,0.0,0.2436680074547698,-4.779018042543532,1.7110809329506718,0,0,0,1
Home Mortgage,-0.483831600599749,2 years,-0.1031789807490464,1.8093110188626735,-0.35512038174493615,0.07264163819895733,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,other,Short Term,-0.37109495510463286,-0.0167676776488319,-0.10630290387162145,-0.23024660108115666,0.0,0.4421986311517594,-1.8392811592505136,-0.06745333527642361,0,0,0,1
Rent,-0.41577742612098156,8 years,-0.1031789807490464,-0.8467233144158651,-0.5383479420003826,-0.34918125557983215,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,2.7511385336896237,-0.28596848796659297,-1.036481923888544,-0.23568485271545883,0.0,-1.1416939079058386,0.5730500039308407,0.8659315987033395,0,0,0,1
Home Mortgage,-0.7945959518567635,10+ years,-0.1031789807490464,0.1748283522297267,0.16637344359748787,-0.14311416201981764,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.3682933337106415,-0.08731057807022322,-0.3800739030388011,-0.2316061639897322,0.0,0.6418912419459485,-0.36564553928264754,0.06526279866026782,0,0,0,1
Rent,-0.2027334643907894,10+ years,-0.1031789807490464,-0.4381026477576284,0.03952359418987139,-0.49153241263906894,-0.3264900671789613,-0.4313294134725052,-0.3273751528441557,debt consolidation,Short Term,-0.36197800069592295,-0.6547258109758337,0.3421777758384914,-0.23772419707832212,1.0,0.6029059293798402,0.46061079595367027,-0.8724525189383414,0,0,0,0
Rent,-0.9217614417853196,7 years,-0.1031789807490464,-0.6424129810867467,-0.6088200805601697,-0.45288793573818154,1.6169031898386654,-0.6963578808234285,2.534295763625736,debt consolidation,Short Term,2.7511385336896237,-0.43052454439462146,-1.0291283959701913,-0.24588157452977535,0.0,-0.6113800400891886,0.5733194578815702,0.36917538535552974,1,1,0,1
Own Home,-0.04629485211874898,10+ years,-0.1031789807490464,-0.029481981099391662,0.307317720717062,0.16961698457388544,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Long Term,2.7511385336896237,1.0448460842572838,0.696922105416958,-0.25335917052694085,0.0,0.7972651945683255,0.5705693521128894,0.37050498632037043,0,0,0,1
Home Mortgage,0.26021918427009694,10+ years,-0.1031789807490464,1.6050006855335552,0.9415669677551454,0.6286056688158927,-0.3264900671789613,-0.07795812367127412,-0.3273751528441557,debt consolidation,Short Term,-0.364875163153154,0.6099263473850768,0.8404426847889466,-0.24112310434976097,1.0,0.5199336109503571,-0.4680147346611312,-0.022206705809936538,0,0,0,0
Home Mortgage,-0.2027334643907894,< 1 year,-0.1031789807490464,0.37913868555884506,0.377789859276849,-0.5768327571404566,-0.3264900671789613,-0.21047235734673578,-0.3273751528441557,other,Short Term,-0.37067773621696043,-0.6922159491836537,-0.3635073343951558,-0.23772419707832212,1.0,-0.347873207375062,0.15071576253092095,-0.8100254079286551,0,0,0,0
Rent,0.7415120644286005,3 years,-0.1031789807490464,-1.0510336477449835,-1.1444083336145512,0.12662472814731285,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,take a trip,Short Term,-0.37178642495800757,0.7753608267604041,0.2988173181130319,-0.24384223016691206,0.0,-0.4118382330027657,-6.411282437095073,0.4349193351740957,0,0,0,1
Rent,-0.2027334643907894,< 1 year,-0.1031789807490464,-0.4381026477576284,1.8436103413204195,0.7831173665789496,-0.3264900671789613,0.7171272783814958,-0.3273751528441557,buy a car,Short Term,-0.3683029565515433,-0.11160236716694426,-0.9537336039797238,-0.23772419707832212,0.0,-1.1430930794506977,-0.33838336741435426,1.0906096853652454,0,0,0,0
Home Mortgage,-0.2027334643907894,6 years,-0.1031789807490464,-0.6424129810867467,-0.5383479420003826,-0.2680962709231444,-0.3264900671789613,-0.07795812367127412,-0.3273751528441557,other,Long Term,-0.35230704558957887,-0.2536552884187298,0.04583905305981525,-0.23772419707832212,1.0,0.2036447419965982,0.40125579988840293,-0.4129508920075914,0,0,0,0
Rent,-0.2027334643907894,5 years,-0.1031789807490464,0.37913868555884506,-0.045042972081873266,-0.06803220290113184,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.3693195409582443,-0.2085419658105336,-0.6337283545672686,-0.23772419707832212,1.0,-0.7119456591903002,-0.4329217251843477,0.156365269676094,0,0,0,1
Rent,0.09057511395389133,6 years,-0.1031789807490464,0.7877593522170818,-0.1014206829297027,0.8062687408045526,-0.3264900671789613,2.616497961063113,-0.3273751528441557,debt consolidation,Short Term,-0.36939033757345063,-0.6966533251779026,-0.684949480067519,-0.22480834944685452,0.0,-0.969744303223617,0.30216105987569786,-0.7230582686382555,0,0,0,0
Home Mortgage,-0.6123729149943019,7 years,9.754685422026087,0.1748283522297267,-1.510863454125444,-0.339823598123535,5.503689703873919,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.36768090862181757,-0.39240862239274066,0.3012684940858162,-0.2404433228954732,1.0,1.4737357953716037,0.0636543543531273,-0.6295029035649509,0,1,1,1
Rent,-0.7962420275571523,10+ years,-0.1031789807490464,0.37913868555884506,0.758339407499699,-0.3378152329619241,-0.3264900671789613,2.174783848811574,-0.3273751528441557,debt consolidation,Long Term,-0.36547452867218255,-0.2788573084886301,-0.3071302870211179,-0.27919086578987606,1.0,0.8083536728282079,0.12416019948579883,-0.2610906583629706,0,0,0,0
Rent,0.03200430097288711,10+ years,-0.1031789807490464,1.8093110188626735,-0.46787580344059554,0.08722987305417523,-0.3264900671789613,-0.25464376857188964,-0.3273751528441557,debt consolidation,Short Term,-0.36562368270616097,0.04524180739900401,-0.7851941250234545,-0.24452201162119983,0.0,-1.0540172916322594,-0.13517994741500497,0.9596150527278803,0,0,0,0
Own Home,-0.2027334643907894,4 years,-0.1031789807490464,2.2179316855209104,-1.0457473396308492,-0.05159009251211921,-0.3264900671789613,0.5404416334808803,-0.3273751528441557,debt consolidation,Long Term,-0.3629499076270083,0.027549192857832482,-0.37694654059076604,-0.23772419707832212,1.0,-0.3659800324731611,0.060658127263653584,0.22730458719890959,0,0,0,0
Home Mortgage,-0.2027334643907894,10+ years,-0.1031789807490464,-0.23379231442851003,-1.2571637553102104,-0.3288327646017521,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.36718876904426656,-0.37591068600386685,-0.5301873005444854,-0.23772419707832212,1.0,-0.5724433903527442,0.08963583660308617,-0.24492059635031352,0,0,0,1
Home Mortgage,0.01119495592468637,10+ years,-0.1031789807490464,1.1963800188753184,-0.4114980925927659,-0.19891802258172153,1.6169031898386654,0.8496415120569574,-0.3273751528441557,take a trip,Short Term,-0.3721259737726866,1.092803878656665,1.3568801052617678,-0.23908375998689765,0.0,1.4848867643988186,-10.491298044984108,0.07170286118804746,0,1,0,0
Home Mortgage,-0.2027334643907894,10+ years,-0.1031789807490464,-0.23379231442851003,0.43416757012467844,0.4294464686139466,1.6169031898386654,-0.6963578808234285,2.534295763625736,debt consolidation,Long Term,-0.3489754806002079,0.9095630058685187,0.8953828359030764,-0.23772419707832212,0.0,1.3482466228833534,0.1449692953832713,0.16060140019498328,1,1,0,1
Home Mortgage,0.5118722200773227,10+ years,-0.1031789807490464,-1.0510336477449835,1.265738805130166,-0.4141772489968015,-0.3264900671789613,-0.4313294134725052,-0.3273751528441557,debt consolidation,Short Term,2.7511385336896237,-0.5093733024462733,0.441492664390957,-0.2431624487126243,0.0,-0.12340889291372244,0.5734664327637863,-0.7592273454153575,0,0,0,0
Own Home,-0.2027334643907894,5 years,-0.1031789807490464,1.400690352204437,-0.045042972081873266,0.77345072986702,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.3664278772672429,0.9613323924680881,0.4847685988070101,-0.23772419707832212,0.0,0.7950204824647029,-1.0123352721527084,0.45142880297141946,0,0,0,1
Home Mortgage,-0.2027334643907894,8 years,-0.1031789807490464,0.5834490188879634,0.053618021901828496,-0.42514601257175355,-0.3264900671789613,0.5846130447060341,-0.3273751528441557,home improvements,Long Term,-0.36304407399869054,-0.5891891809069282,0.5664181156935478,-0.23772419707832212,1.0,0.9050279858908896,0.4109188151176565,-0.8408953524384194,0,0,0,0
Rent,-0.2027334643907894,5 years,-0.1031789807490464,-0.6424129810867467,-0.18598724920144735,-0.496299521154541,-0.3264900671789613,-0.12212953489642801,-0.3273751528441557,debt consolidation,Short Term,-0.36205842015203116,-0.5484563448571571,0.05986992242126997,-0.23772419707832212,1.0,0.22254872291662606,0.4040431615110135,-0.7271563456822346,0,0,0,0
Rent,-0.852994786779518,3 years,-0.1031789807490464,-1.0510336477449835,0.5469229918203379,-0.3980882577570831,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Long Term,-0.36627734854170707,-0.3303991373449047,-0.7543431170901355,-0.24792091889263868,0.0,-0.06788724329884452,0.11528477151471471,0.08392917528389077,0,0,0,1
Home Mortgage,0.25353660829239844,3 years,-0.1031789807490464,0.1748283522297267,-1.1162194781906363,0.22512290085357234,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.36903154307696795,-0.14590669696863698,0.17854064882779058,-0.23024660108115666,1.0,-0.15669692228832036,-0.4510229403829654,-0.3582075631681146,0,0,0,1
Rent,-0.528914420155178,3 years,-0.1031789807490464,-0.6424129810867467,-1.243069327598253,-0.11265763539319024,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.36487103907848173,-0.32419818884012114,-0.4367045203410581,-0.22888703817258113,0.0,-0.034757868545684745,0.18877450543909166,-0.2357722856863213,0,0,0,1
Home Mortgage,1.2299788864455157,10+ years,-0.1031789807490464,1.6050006855335552,2.266443172679142,1.0125344638860452,-0.3264900671789613,-0.3429865910221974,-0.3273751528441557,debt consolidation,Long Term,-0.349137006858203,-0.07064197337387833,-0.37314299166748016,-0.2540389519812286,0.0,-1.1305658618655934,0.3797035929353107,0.08245803235883649,0,0,0,0
Home Mortgage,-0.2027334643907894,10+ years,-0.1031789807490464,-0.8467233144158651,-0.1014206829297027,-0.3839193518916521,1.6169031898386654,2.4398123161624974,2.534295763625736,debt consolidation,Short Term,-0.36767678454714536,-0.42375470153160083,-1.2286879294785924,-0.23772419707832212,1.0,-1.5135427778413668,0.09732835206771795,1.3047482623400803,1,1,0,0
Rent,-0.2027334643907894,6 years,-0.1031789807490464,-0.8467233144158651,-0.045042972081873266,-0.5892360672594164,-0.3264900671789613,-0.12212953489642801,-0.3273751528441557,small business,Long Term,-0.3690885927766003,-0.7552494440763163,0.004000014903670158,-0.23772419707832212,0.0,0.14727443744591232,0.406123249796924,-0.9391300969638894,0,0,0,0
Rent,0.25262758141307917,10+ years,-0.1031789807490464,-0.8467233144158651,0.12409016046161554,-0.21857131023462856,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,home improvements,Short Term,-0.3585343983446235,-0.8644202714220017,-0.45969486049958636,-0.22616791235543005,0.0,-0.8166783110848843,0.5708365383870434,-1.0536487110024235,0,0,0,1
Rent,-0.7836630610108964,2 years,-0.1031789807490464,-0.8467233144158651,-0.28464824318514914,-0.6412107920461609,1.6169031898386654,-0.6963578808234285,-0.3273751528441557,debt consolidation,Long Term,-0.37093411619241645,-0.7901795576720697,-0.48276972396752094,-0.24384223016691206,1.0,0.38676984065247516,0.35821338550048404,-0.9360696451311004,0,1,0,1
Home Mortgage,-0.4302727196020187,3 years,-0.1031789807490464,1.1963800188753184,0.40597871470076374,0.45703390215255835,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.3666677609440101,0.008434342421068384,0.6068202575897849,-0.23228594544401998,0.0,1.4738010555309675,-0.21623027128428526,-0.3785429882160776,0,0,0,1
Rent,-0.2027334643907894,< 1 year,-0.1031789807490464,-0.4381026477576284,-1.0739361950547643,-0.03448588371817991,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.3634118039902964,0.015602411334854922,-0.44777707387329047,-0.23772419707832212,1.0,-0.46141097229836275,0.043465717141517916,0.2923912216929217,0,0,0,1
Home Mortgage,0.3936495891777454,3 years,-0.1031789807490464,-0.23379231442851003,-0.14370396606557503,0.020711053305874527,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Long Term,-0.36596323152084004,-0.09220306955106164,-1.0246486605716547,-0.2492804818012142,0.0,-1.437802654847879,-0.05742869465456046,1.4458542154655758,0,0,0,1
Home Mortgage,-0.5936764432331676,1 year,-0.1031789807490464,0.7877593522170818,-0.763858785391701,-0.4380569314678239,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Long Term,2.7511385336896237,-0.4808148056627746,-0.5522478842995436,-0.2581176407069552,0.0,-0.1344769476453599,0.5734131994370385,-0.404026736719466,0,0,0,1
Home Mortgage,0.4464468530603704,6 years,-0.1031789807490464,-0.6424129810867467,-0.32693152632102146,-0.4444572160487818,-0.3264900671789613,1.9980982039109585,-0.3273751528441557,debt consolidation,Long Term,-0.3627388924729466,-0.5057323785535563,0.4771615009604383,-0.25539851488980414,0.0,-0.03470505789732045,0.36906162653509594,-0.7616169513561274,0,0,0,0
Rent,-0.972175581146486,1 year,-0.1031789807490464,-0.8467233144158651,-0.2423649600492768,-0.4808726283197493,-0.3264900671789613,1.6888983253348813,-0.3273751528441557,debt consolidation,Short Term,-0.36762523361374266,-0.5291708261129219,-0.476092382524419,-0.23500507126117104,1.0,0.9969467484854103,0.2126801541888405,-0.5270592607001711,0,0,0,0
Rent,-0.2027334643907894,< 1 year,-0.1031789807490464,-0.23379231442851003,-0.3833092371688511,0.021240732029815874,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.3682706512999443,0.3197333352483694,0.8260737221898664,-0.23772419707832212,0.0,1.2548655123145407,-0.8460753526005715,-0.22151497775061843,0,0,0,1
Rent,-0.05880011378289795,10+ years,-0.1031789807490464,-0.6424129810867467,-0.7074810745438714,-0.31453143905533576,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.363206974948243,-0.2589460059503342,-0.15853830908474803,-0.23092638253544442,1.0,-0.23438942509186897,0.2150235172737741,-0.32316484994060624,0,0,0,1
Home Mortgage,-0.2027334643907894,10+ years,-0.1031789807490464,-0.029481981099391662,-0.9893696287830196,0.017003302238285105,1.6169031898386654,-0.6963578808234285,2.534295763625736,debt consolidation,Short Term,-0.36483735913532533,-0.429841871164737,0.26686750715743024,-0.23772419707832212,0.0,0.5014393811886055,0.2642537395936528,-0.6559180014296916,1,1,0,1
Rent,-0.07275490479515064,< 1 year,-0.1031789807490464,-0.8467233144158651,-0.35512038174493615,-0.4423605710998473,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,2.7511385336896237,-0.3581042925910479,-1.1090029233591956,-0.2268476938097178,0.0,-1.399030880965915,0.5731844657999965,0.9089278937240151,0,0,0,1
Rent,1.0760585243121301,4 years,-0.1031789807490464,-0.23379231442851003,0.5469229918203379,-0.016145757901710807,-0.3264900671789613,-0.12212953489642801,-0.3273751528441557,debt consolidation,Short Term,-0.35809655908358995,0.6078214382595998,1.7965703607936199,-0.2295668196268689,0.0,0.4976989566553572,0.001760824638004628,-0.3218818844165635,0,0,0,0
Home Mortgage,0.10723241731006619,2 years,-0.1031789807490464,0.1748283522297267,-0.11551511064166031,0.02366842618121371,-0.3264900671789613,0.23124175490480306,-0.3273751528441557,other,Long Term,-0.3567266789466359,-0.3513344497280273,-0.7593299923451102,3.6635415690791873,1.0,-1.0617998405515463,0.38937508589829545,0.04652128349932534,0,0,0,0
Home Mortgage,-0.9201890709670376,6 years,-0.1031789807490464,-1.2553439810741018,-0.28464824318514914,-0.5813129563471271,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,buy a car,Short Term,-0.3685167210887198,-0.7829545993224595,-0.9978547714898405,-0.22888703817258113,0.0,-0.5338029007909869,0.4615602734268506,-0.7916334310222418,0,0,0,1
Rent,-0.2027334643907894,10+ years,-0.1031789807490464,-0.6424129810867467,-0.7356699299677864,0.12179140979134807,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.36351834258599525,0.20635268965172998,1.4137642924922438,-0.23772419707832212,0.0,2.0466690022961953,-0.07760919923721955,-0.45362715219787947,0,0,0,1
Rent,-0.23999128229586192,10+ years,-0.1031789807490464,-0.4381026477576284,-0.32693152632102146,0.10230364673967271,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Long Term,-0.35872616781688144,0.36928403385081443,0.13915278664442976,-0.24180288580404874,0.0,0.38678972624296803,0.07303561399354992,0.17211768956359652,0,0,0,1
Home Mortgage,0.39573789417077615,8 years,-0.1031789807490464,-0.4381026477576284,-0.8766142070873605,0.18654463379317762,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,other,Short Term,-0.36217320689707444,-0.4066309813486663,-1.1436574802158006,-0.24656135598406312,1.0,-1.5531619222602033,0.3270922121499324,0.8763414108462023,0,0,0,1
Home Mortgage,0.14162802895998478,< 1 year,-0.1031789807490464,-0.23379231442851003,0.40597871470076374,0.9705132851200317,-0.3264900671789613,2.3072980824870357,-0.3273751528441557,debt consolidation,Long Term,-0.3593159104950082,1.4695257226812242,0.8607282790464714,-0.276471739972725,0.0,0.6995584882525971,-0.4111292650946717,0.5693419901704532,0,0,0,0
Own Home,-0.2027334643907894,10+ years,-0.1031789807490464,1.1963800188753184,1.998649046151951,1.651415284746632,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,other,Short Term,-0.35915782096590665,-0.4643168692739008,0.931136195781964,-0.23772419707832212,0.0,1.3964176104084849,0.40428514528360315,-0.7893629862768204,0,0,0,1
